config,prefix,joint,n,scope,item_name
L1_CORE_LAY,top3,both_none,69,by_item,Depressed
L1_CORE_LAY,top3,other,20,by_item,Depressed
L1_CORE_LAY,top3,sem_inf_bm25_amb,5,by_item,Depressed
L1_CORE_LAY,top3,sem_inf_bm25_none,38,by_item,Depressed
L1_CORE_LAY,top3,bm25_inf_sem_amb,4,by_item,Failure
L1_CORE_LAY,top3,bm25_inf_sem_none,32,by_item,Failure
L1_CORE_LAY,top3,both_ambiguous,3,by_item,Failure
L1_CORE_LAY,top3,both_informative,71,by_item,Failure
L1_CORE_LAY,top3,both_none,70,by_item,Failure
L1_CORE_LAY,top3,other,9,by_item,Failure
L1_CORE_LAY,top3,sem_inf_bm25_amb,4,by_item,Failure
L1_CORE_LAY,top3,sem_inf_bm25_none,26,by_item,Failure
L1_CORE_LAY,top3,bm25_inf_sem_none,9,by_item,Moving
L1_CORE_LAY,top3,both_informative,4,by_item,Moving
L1_CORE_LAY,top3,both_none,171,by_item,Moving
L1_CORE_LAY,top3,other,11,by_item,Moving
L1_CORE_LAY,top3,sem_inf_bm25_none,24,by_item,Moving
L1_CORE_LAY,top3,bm25_inf_sem_amb,4,by_item,NoInterest
L1_CORE_LAY,top3,bm25_inf_sem_none,28,by_item,NoInterest
L1_CORE_LAY,top3,both_informative,30,by_item,NoInterest
L1_CORE_LAY,top3,both_none,114,by_item,NoInterest
L1_CORE_LAY,top3,other,17,by_item,NoInterest
L1_CORE_LAY,top3,sem_inf_bm25_amb,4,by_item,NoInterest
L1_CORE_LAY,top3,sem_inf_bm25_none,22,by_item,NoInterest
L1_CORE_LAY,top3,bm25_inf_sem_amb,4,by_item,Sleep
L1_CORE_LAY,top3,bm25_inf_sem_none,12,by_item,Sleep
L1_CORE_LAY,top3,both_ambiguous,4,by_item,Sleep
L1_CORE_LAY,top3,both_informative,108,by_item,Sleep
L1_CORE_LAY,top3,both_none,67,by_item,Sleep
L1_CORE_LAY,top3,other,12,by_item,Sleep
L1_CORE_LAY,top3,sem_inf_bm25_amb,3,by_item,Sleep
L1_CORE_LAY,top3,sem_inf_bm25_none,9,by_item,Sleep
L1_CORE_LAY,top3,bm25_inf_sem_amb,8,by_item,Tired
L1_CORE_LAY,top3,bm25_inf_sem_none,5,by_item,Tired
L1_CORE_LAY,top3,both_ambiguous,2,by_item,Tired
L1_CORE_LAY,top3,both_informative,59,by_item,Tired
L1_CORE_LAY,top3,both_none,90,by_item,Tired
L1_CORE_LAY,top3,other,19,by_item,Tired
L1_CORE_LAY,top3,sem_inf_bm25_amb,10,by_item,Tired
L1_CORE_LAY,top3,sem_inf_bm25_none,26,by_item,Tired
L1_CORE_LAY,top5,bm25_inf_sem_amb,1,by_item,Appetite
L1_CORE_LAY,top5,bm25_inf_sem_none,4,by_item,Appetite
L1_CORE_LAY,top5,both_informative,6,by_item,Appetite
L1_CORE_LAY,top5,both_none,203,by_item,Appetite
L1_CORE_LAY,top5,other,2,by_item,Appetite
L1_CORE_LAY,top5,sem_inf_bm25_amb,2,by_item,Appetite
L1_CORE_LAY,top5,sem_inf_bm25_none,1,by_item,Appetite
L1_CORE_LAY,top5,bm25_inf_sem_amb,2,by_item,Concentrating
L1_CORE_LAY,top5,bm25_inf_sem_none,10,by_item,Concentrating
L1_CORE_LAY,top5,both_ambiguous,5,by_item,Concentrating
L1_CORE_LAY,top5,both_informative,14,by_item,Concentrating
L1_CORE_LAY,top5,both_none,145,by_item,Concentrating
L1_CORE_LAY,top5,other,29,by_item,Concentrating
L1_CORE_LAY,top5,sem_inf_bm25_amb,4,by_item,Concentrating
L1_CORE_LAY,top5,sem_inf_bm25_none,10,by_item,Concentrating
L1_CORE_LAY,top5,bm25_inf_sem_amb,2,by_item,Depressed
L1_CORE_LAY,top5,bm25_inf_sem_none,24,by_item,Depressed
L1_CORE_LAY,top5,both_ambiguous,3,by_item,Depressed
L1_CORE_LAY,top5,both_informative,63,by_item,Depressed
L1_CORE_LAY,top5,both_none,64,by_item,Depressed
L1_CORE_LAY,top5,other,32,by_item,Depressed
L1_CORE_LAY,top5,sem_inf_bm25_amb,13,by_item,Depressed
L1_CORE_LAY,top5,sem_inf_bm25_none,18,by_item,Depressed
L1_CORE_LAY,top5,bm25_inf_sem_amb,6,by_item,Failure
L1_CORE_LAY,top5,bm25_inf_sem_none,26,by_item,Failure
L1_CORE_LAY,top5,both_ambiguous,3,by_item,Failure
L1_CORE_LAY,top5,both_informative,76,by_item,Failure
L1_CORE_LAY,top5,both_none,63,by_item,Failure
L1_CORE_LAY,top5,other,11,by_item,Failure
L1_CORE_LAY,top5,sem_inf_bm25_amb,3,by_item,Failure
L1_CORE_LAY,top5,sem_inf_bm25_none,31,by_item,Failure
L1_CORE_LAY,top5,bm25_inf_sem_none,11,by_item,Moving
L1_CORE_LAY,top5,both_informative,7,by_item,Moving
L1_CORE_LAY,top5,both_none,178,by_item,Moving
L1_CORE_LAY,top5,other,7,by_item,Moving
L1_CORE_LAY,top5,sem_inf_bm25_none,16,by_item,Moving
L1_CORE_LAY,top5,bm25_inf_sem_amb,3,by_item,NoInterest
L1_CORE_LAY,top5,bm25_inf_sem_none,31,by_item,NoInterest
L1_CORE_LAY,top5,both_ambiguous,3,by_item,NoInterest
L1_CORE_LAY,top5,both_informative,27,by_item,NoInterest
L1_CORE_LAY,top5,both_none,117,by_item,NoInterest
L1_CORE_LAY,top5,other,16,by_item,NoInterest
L1_CORE_LAY,top5,sem_inf_bm25_amb,2,by_item,NoInterest
L1_CORE_LAY,top5,sem_inf_bm25_none,20,by_item,NoInterest
L1_CORE_LAY,top5,bm25_inf_sem_amb,2,by_item,Sleep
L1_CORE_LAY,top5,bm25_inf_sem_none,9,by_item,Sleep
L1_CORE_LAY,top5,both_ambiguous,1,by_item,Sleep
L1_CORE_LAY,top5,both_informative,101,by_item,Sleep
L1_CORE_LAY,top5,both_none,79,by_item,Sleep
L1_CORE_LAY,top5,other,12,by_item,Sleep
L1_CORE_LAY,top5,sem_inf_bm25_amb,2,by_item,Sleep
L1_CORE_LAY,top5,sem_inf_bm25_none,13,by_item,Sleep
L1_CORE_LAY,top5,bm25_inf_sem_amb,11,by_item,Tired
L1_CORE_LAY,top5,bm25_inf_sem_none,10,by_item,Tired
L1_CORE_LAY,top5,both_ambiguous,4,by_item,Tired
L1_CORE_LAY,top5,both_informative,56,by_item,Tired
L1_CORE_LAY,top5,both_none,94,by_item,Tired
L1_CORE_LAY,top5,other,15,by_item,Tired
L1_CORE_LAY,top5,sem_inf_bm25_amb,8,by_item,Tired
L1_CORE_LAY,top5,sem_inf_bm25_none,21,by_item,Tired
L2_CORE_CLINICAL,budget,bm25_inf_sem_none,4,by_item,Appetite
L2_CORE_CLINICAL,budget,both_ambiguous,1,by_item,Appetite
L2_CORE_CLINICAL,budget,both_informative,7,by_item,Appetite
