item_id,item_name,n,accuracy,macro_f1,qwk,mae,far_off_rate,within_one,f1_class3,severe_recall,false_severe_rate,run
6,Failure,219,0.3561643835616438,0.32038602806132566,0.3187904032890644,0.9178082191780822,0.2191780821917808,0.7808219178082192,0.2727272727272727,0.375,0.16923076923076924,L3_infofirst
7,Concentrating,219,0.4063926940639269,0.27467092263261894,0.24189721113313423,0.7579908675799086,0.1415525114155251,0.8584474885844748,0.16,0.09090909090909091,0.005076142131979695,L3_infofirst
8,Moving,219,0.5388127853881278,0.27367941579877253,0.19608754240044612,0.5388127853881278,0.0639269406392694,0.9360730593607306,0.0,0.0,0.0047169811320754715,L3_infofirst
1,NoInterest,219,0.54337899543379,0.4283645505157309,0.4140037264818368,0.5799086757990868,0.1004566210045662,0.8995433789954338,0.24,0.3333333333333333,0.06190476190476191,L4_fallback
2,Depressed,219,0.4429223744292237,0.3500989850173147,0.45272639016234295,0.776255707762557,0.1917808219178082,0.8082191780821918,0.30985915492957744,0.6111111111111112,0.208955223880597,L4_fallback
3,Sleep,219,0.3926940639269406,0.3752200805017995,0.5185490519373455,0.6940639269406392,0.0821917808219178,0.9178082191780822,0.3181818181818182,0.2,0.010869565217391304,L4_fallback
4,Tired,219,0.4474885844748858,0.3754599239673867,0.3699230191026671,0.6940639269406392,0.1232876712328767,0.8767123287671232,0.2702702702702703,0.17857142857142858,0.020942408376963352,L4_fallback
5,Appetite,219,0.4703196347031963,0.3386904761904762,0.20215442679666606,0.7488584474885844,0.1780821917808219,0.821917808219178,0.21428571428571427,0.125,0.005128205128205128,L4_fallback
6,Failure,219,0.5114155251141552,0.36449018313809606,0.42798973481608216,0.6621004566210046,0.1552511415525114,0.8447488584474886,0.3,0.25,0.05128205128205128,L4_fallback
7,Concentrating,219,0.4794520547945205,0.3814589915745129,0.3196009863883974,0.6712328767123288,0.1278538812785388,0.8721461187214612,0.2222222222222222,0.13636363636363635,0.01015228426395939,L4_fallback
8,Moving,219,0.5981735159817352,0.2887370977534912,0.17733518215051047,0.4885844748858447,0.0776255707762557,0.9223744292237442,0.0,0.0,0.0,L4_fallback
1,NoInterest,219,0.4292237442922374,0.3146311291048133,0.30606287425149703,0.7579908675799086,0.1735159817351598,0.8264840182648402,0.0,0.0,0.023809523809523808,L5_longctx
2,Depressed,219,0.4611872146118721,0.3769127005393897,0.4262378210003984,0.680365296803653,0.1278538812785388,0.8721461187214612,0.2,0.16666666666666666,0.04477611940298507,L5_longctx
3,Sleep,219,0.3926940639269406,0.3620192277133323,0.43583455268635496,0.776255707762557,0.1552511415525114,0.8447488584474886,0.2857142857142857,0.17142857142857143,0.005434782608695652,L5_longctx
4,Tired,219,0.4246575342465753,0.4039885303371084,0.4153221125943122,0.730593607305936,0.1506849315068493,0.8493150684931506,0.32432432432432434,0.21428571428571427,0.015706806282722512,L5_longctx
5,Appetite,219,0.4383561643835616,0.35631646598402117,0.41282300369147074,0.680365296803653,0.1050228310502283,0.8949771689497716,0.14814814814814814,0.08333333333333333,0.005128205128205128,L5_longctx
6,Failure,219,0.4155251141552511,0.3278444631973947,0.39089883498832745,0.7534246575342466,0.1461187214611872,0.8538812785388128,0.11428571428571428,0.08333333333333333,0.046153846153846156,L5_longctx
7,Concentrating,219,0.3926940639269406,0.3192606288903691,0.31510614101592116,0.7945205479452054,0.1689497716894977,0.8310502283105022,0.15384615384615385,0.09090909090909091,0.01015228426395939,L5_longctx
8,Moving,219,0.3972602739726027,0.28469366890419523,0.2279670975323148,0.7579908675799086,0.1552511415525114,0.8447488584474886,0.2,0.14285714285714285,0.009433962264150943,L5_longctx
