item_id,item_name,n,accuracy,macro_f1,qwk,mae,far_off_rate,within_one,f1_class3,severe_recall,false_severe_rate,run
2,Depressed,219,0.5296803652968036,0.4187583882519334,0.39590887959088794,0.5753424657534246,0.091324200913242,0.908675799086758,0.24,0.16666666666666666,0.01990049751243781,R2_status_quo
3,Sleep,219,0.4246575342465753,0.3883896151053014,0.44176690382351425,0.7534246575342466,0.1643835616438356,0.8356164383561644,0.35294117647058826,0.2571428571428571,0.03804347826086957,R2_status_quo
4,Tired,219,0.3881278538812785,0.30911498679415106,0.30261999689328434,0.776255707762557,0.1552511415525114,0.8447488584474886,0.0975609756097561,0.07142857142857142,0.05759162303664921,R2_status_quo
5,Appetite,219,0.3789954337899543,0.3301831878103064,0.23335949471166417,0.817351598173516,0.1598173515981735,0.8401826484018264,0.2222222222222222,0.16666666666666666,0.041025641025641026,R2_status_quo
6,Failure,219,0.3926940639269406,0.31071072864413163,0.3536979989127339,0.7488584474885844,0.136986301369863,0.863013698630137,0.13793103448275862,0.08333333333333333,0.015384615384615385,R2_status_quo
7,Concentrating,219,0.4292237442922374,0.303953248328238,0.3094899536321484,0.7534246575342466,0.1598173515981735,0.8401826484018264,0.23529411764705882,0.18181818181818182,0.04060913705583756,R2_status_quo
8,Moving,219,0.726027397260274,0.24994912494912494,0.11256190904997732,0.3698630136986301,0.0684931506849315,0.9315068493150684,0.0,0.0,0.0,R2_status_quo
1,NoInterest,219,0.4611872146118721,0.32454215890748395,0.16664967893181137,0.684931506849315,0.1232876712328767,0.8767123287671232,0.15384615384615385,0.1111111111111111,0.014285714285714285,R2_mask_none
2,Depressed,219,0.54337899543379,0.4379102743964611,0.4334706264903534,0.5707762557077626,0.1050228310502283,0.8949771689497716,0.21428571428571427,0.16666666666666666,0.03482587064676617,R2_mask_none
3,Sleep,219,0.4611872146118721,0.3970196550224107,0.5294638765846953,0.6712328767123288,0.1187214611872146,0.8812785388127854,0.2978723404255319,0.2,0.02717391304347826,R2_mask_none
4,Tired,219,0.365296803652968,0.2953254727488328,0.2652492016653867,0.7990867579908676,0.1598173515981735,0.8401826484018264,0.10810810810810811,0.07142857142857142,0.03664921465968586,R2_mask_none
5,Appetite,219,0.410958904109589,0.3502987571453227,0.22223849448980337,0.8082191780821918,0.1780821917808219,0.821917808219178,0.24242424242424243,0.16666666666666666,0.02564102564102564,R2_mask_none
6,Failure,219,0.4748858447488584,0.3631378520400408,0.3623889212385124,0.6940639269406392,0.1598173515981735,0.8401826484018264,0.21428571428571427,0.125,0.005128205128205128,R2_mask_none
7,Concentrating,219,0.4474885844748858,0.2743789613365313,0.26134318574578386,0.7808219178082192,0.2009132420091324,0.7990867579908676,0.17647058823529413,0.13636363636363635,0.04568527918781726,R2_mask_none
8,Moving,219,0.726027397260274,0.306505597942062,0.07503643144713124,0.4246575342465753,0.1232876712328767,0.8767123287671232,0.0,0.0,0.0,R2_mask_none
1,NoInterest,219,0.45662100456621,0.33136020053392934,0.17405315438142965,0.6712328767123288,0.1050228310502283,0.8949771689497716,0.14285714285714285,0.1111111111111111,0.01904761904761905,R2_drop_none
2,Depressed,219,0.5251141552511416,0.4059628543499511,0.4108627229440722,0.6118721461187214,0.1232876712328767,0.8767123287671232,0.1935483870967742,0.16666666666666666,0.04975124378109453,R2_drop_none
3,Sleep,219,0.4611872146118721,0.4282250740490977,0.5336498817474197,0.6986301369863014,0.1324200913242009,0.867579908675799,0.5074626865671642,0.4857142857142857,0.08152173913043478,R2_drop_none
4,Tired,219,0.4155251141552511,0.40051180039387585,0.36244541484716164,0.7579908675799086,0.1598173515981735,0.8401826484018264,0.4074074074074074,0.39285714285714285,0.07853403141361257,R2_drop_none
5,Appetite,219,0.3698630136986301,0.351792867475242,0.25699745547073793,0.867579908675799,0.1780821917808219,0.821917808219178,0.3333333333333333,0.3333333333333333,0.08205128205128205,R2_drop_none
6,Failure,219,0.45662100456621,0.3481775266986535,0.36850768745841056,0.726027397260274,0.1643835616438356,0.8356164383561644,0.22857142857142856,0.16666666666666666,0.035897435897435895,R2_drop_none
7,Concentrating,219,0.502283105022831,0.3527360047465004,0.43410852713178294,0.6621004566210046,0.136986301369863,0.863013698630137,0.3076923076923077,0.2727272727272727,0.05583756345177665,R2_drop_none
8,Moving,219,0.7442922374429224,0.32453786880664354,0.21317365269461086,0.365296803652968,0.0867579908675799,0.91324200913242,0.0,0.0,0.0,R2_drop_none
